pdb,execution_time
pdb5jve_A_hinge_0_sigma0.8948929172439201.pdb,0.234943
pdb5jve_A_hinge_2_sigma0.8948929172439201.pdb,0.23462
pdb5jve_A_hinge_1_sigma0.8948929172439201.pdb,0.221379
pdb5jve_A_hinge_3_sigma0.8948929172439201.pdb,0.22223
pdb5jve_A_hinge_4_sigma0.8948929172439201.pdb,0.203264
pdb5o8w_A_hinge_2_sigma0.8948929172439201.pdb,0.893234
pdb5o8w_A_hinge_0_sigma0.8948929172439201.pdb,1.001543
pdb5o8w_A_hinge_1_sigma0.8948929172439201.pdb,0.971385
pdb5o8w_A_hinge_5_sigma0.8948929172439201.pdb,0.917293
pdb5o8w_A_hinge_4_sigma0.8948929172439201.pdb,0.920844
pdb5o8w_A_hinge_3_sigma0.8948929172439201.pdb,1.003866
pdb8swr_A_hinge_2_sigma0.8948929172439201.pdb,0.416933
pdb8swr_A_hinge_5_sigma0.8948929172439201.pdb,0.379496
pdb8swr_A_hinge_1_sigma0.8948929172439201.pdb,0.407637
pdb8swr_A_hinge_0_sigma0.8948929172439201.pdb,0.404195
pdb8swr_A_hinge_3_sigma0.8948929172439201.pdb,0.499174
pdb8swr_A_hinge_4_sigma0.8948929172439201.pdb,0.416283
pdb4e0p_A_hinge_2_sigma0.8948929172439201.pdb,1.081155
pdb4e0p_A_hinge_5_sigma0.8948929172439201.pdb,0.952043
pdb4e0p_A_hinge_1_sigma0.8948929172439201.pdb,0.925228
pdb4e0p_A_hinge_3_sigma0.8948929172439201.pdb,1.013554
pdb4e0p_A_hinge_4_sigma0.8948929172439201.pdb,1.006394
pdb4e0p_A_hinge_0_sigma0.8948929172439201.pdb,1.019882
pdb5u79_A_hinge_1_sigma0.8948929172439201.pdb,0.134135
pdb5u79_A_hinge_0_sigma0.8948929172439201.pdb,0.136036
pdb5u79_A_hinge_3_sigma0.8948929172439201.pdb,0.155511
pdb5u79_A_hinge_2_sigma0.8948929172439201.pdb,0.174553
pdb5u79_A_hinge_4_sigma0.8948929172439201.pdb,0.157796
pdb5u79_A_hinge_5_sigma0.8948929172439201.pdb,0.170525
pdb6w3d_A_hinge_1_sigma0.8948929172439201.pdb,0.073958
pdb6w3d_A_hinge_0_sigma0.8948929172439201.pdb,0.068701
pdb6w3d_A_hinge_2_sigma0.8948929172439201.pdb,0.070824
pdb6w3d_A_hinge_4_sigma0.8948929172439201.pdb,0.037323
pdb6w3d_A_hinge_3_sigma0.8948929172439201.pdb,0.031897
pdb2jxc_A_hinge_0_sigma0.8948929172439201.pdb,0.092738
pdb2jxc_A_hinge_3_sigma0.8948929172439201.pdb,0.054737
pdb2jxc_A_hinge_1_sigma0.8948929172439201.pdb,0.056187
pdb2jxc_A_hinge_2_sigma0.8948929172439201.pdb,0.063867
pdb1p4w_A_hinge_2_sigma0.8948929172439201.pdb,0.056641
pdb1p4w_A_hinge_3_sigma0.8948929172439201.pdb,0.046216
pdb1p4w_A_hinge_1_sigma0.8948929172439201.pdb,0.035651
pdb1p4w_A_hinge_0_sigma0.8948929172439201.pdb,0.084759
pdb7sjb_A_hinge_5_sigma0.8948929172439201.pdb,0.246332
pdb7sjb_A_hinge_4_sigma0.8948929172439201.pdb,0.263237
pdb7sjb_A_hinge_3_sigma0.8948929172439201.pdb,0.293069
pdb7sjb_A_hinge_0_sigma0.8948929172439201.pdb,0.282469
pdb7sjb_A_hinge_2_sigma0.8948929172439201.pdb,0.311928
pdb7sjb_A_hinge_1_sigma0.8948929172439201.pdb,0.240645
pdb6ght_A_hinge_5_sigma0.8948929172439201.pdb,0.30108
pdb6ght_A_hinge_1_sigma0.8948929172439201.pdb,0.337299
pdb6ght_A_hinge_0_sigma0.8948929172439201.pdb,0.348119
pdb6ght_A_hinge_4_sigma0.8948929172439201.pdb,0.287956
pdb6ght_A_hinge_3_sigma0.8948929172439201.pdb,0.299471
pdb6ght_A_hinge_2_sigma0.8948929172439201.pdb,0.275021
pdb4r4k_A_hinge_3_sigma0.8948929172439201.pdb,0.075721
pdb4r4k_A_hinge_5_sigma0.8948929172439201.pdb,0.076291
pdb4r4k_A_hinge_0_sigma0.8948929172439201.pdb,0.103373
pdb4r4k_A_hinge_1_sigma0.8948929172439201.pdb,0.06488
pdb4r4k_A_hinge_2_sigma0.8948929172439201.pdb,0.056608
pdb4r4k_A_hinge_4_sigma0.8948929172439201.pdb,0.078683
pdb7kb6_A_hinge_2_sigma0.8948929172439201.pdb,3.084416
pdb7kb6_A_hinge_4_sigma0.8948929172439201.pdb,3.197075
pdb7kb6_A_hinge_0_sigma0.8948929172439201.pdb,3.31405
pdb7kb6_A_hinge_3_sigma0.8948929172439201.pdb,3.215242
pdb7kb6_A_hinge_5_sigma0.8948929172439201.pdb,3.057852
pdb7kb6_A_hinge_1_sigma0.8948929172439201.pdb,3.104982
pdb6i62_A_hinge_0_sigma0.8948929172439201.pdb,0.826388
pdb6i62_A_hinge_4_sigma0.8948929172439201.pdb,0.786703
pdb6i62_A_hinge_1_sigma0.8948929172439201.pdb,0.777606
pdb6i62_A_hinge_5_sigma0.8948929172439201.pdb,0.710692
pdb6i62_A_hinge_2_sigma0.8948929172439201.pdb,0.710315
pdb6i62_A_hinge_3_sigma0.8948929172439201.pdb,0.756747
pdb2y2v_A_hinge_0_sigma0.8948929172439201.pdb,1.36297
