Method,k,Accuracy
BIC Exact,0,0.9994887525562373
BIC Exact,1,0.9889531825355077
BIC Exact,2,0.9808728448275862
BIC Exact,3,0.9622166246851386
BIC Exact,4,0.932293199882249
BIC Exact,5,0.91513391416586
BIC LH,0,0.9994887525562373
BIC LH,1,0.9886901630720674
BIC LH,2,0.9811422413793104
BIC LH,3,0.963056255247691
BIC LH,4,0.9317044450986164
BIC LH,5,0.9157792836398838
FATCAT,0,1.0
FATCAT,1,0.8037874802735402
FATCAT,2,0.6554418103448276
FATCAT,3,0.45424013434089
FATCAT,4,0.29820429790992053
FATCAT,5,0.18070345272668603
DynDom,0,1.0
DynDom,1,0.6940019393267766
DynDom,2,0.4795006383884239
DynDom,3,0.3136155775188081
DynDom,4,0.1964923172435201
DynDom,5,0.13804828289697382
AIC Exact,0,0.23440695296523517
AIC Exact,1,0.16728037874802734
AIC Exact,2,0.11799568965517242
AIC Exact,3,0.09879652952700811
AIC Exact,4,0.07859876361495437
AIC Exact,5,0.06260083898031624
AIC LH,0,0.2448875255623722
AIC LH,1,0.15886375591793792
AIC LH,2,0.10883620689655173
AIC LH,3,0.09627763783935069
AIC LH,4,0.0659405357668531
AIC LH,5,0.05517909002904162
SE,0,0.0
SE,1,0.13282482903734877
SE,2,0.10183189655172414
SE,3,0.07808564231738035
SE,4,0.046511627906976744
SE,5,0.04517586318167151
